	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
0	1424236	0.3392	0.2529	0.3194	0.3194	0.429	0.5272
1	1424237	0.3296	0.2492	0.3073	0.3459	0.3943	0.6029
2	1910012	0.8151	0.7583	0.6628	0.6864	0.6808	0.8634
3	2086037	0.9026	0.9368	0.9211	0.9121	0.9239	0.9412
4	2156475	0.5594	0.5002	0.5873	0.6199	0.6184	0.7051
5	2731990	0.1131	0.2039	0.3005	0.3081	0.3009	0.4556
6	3185713	0.8869	0.759	0.7821	0.7525	0.7285	0.88
7	7798242	0.476	0.571	0.598	0.5655	0.5476	0.7
8	7829088	0.0	0.0	0.0	0.0	0.0	0.0
9	7881069	0.6765	0.7035	0.7112	0.7368	0.7003	0.8398
10	8143266	0.2463	0.2463	0.2463	0.2463	0.3326	0.4129
11	8486029	0.6427	0.557	0.6259	0.6204	0.5993	0.7795
12	8682501	0.0	0.0	0.0	0.0	0.266	0.266
13	8847735	0.5531	0.4935	0.4935	0.6361	0.6361	0.7507
14	8876090	0.76	0.7046	0.6408	0.6499	0.6695	0.8052
15	8878704	1.0	1.0	1.0	0.9549	0.961	0.9373
16	8971015	0.2896	0.4254	0.4215	0.4477	0.5173	0.7259
17	9281518	0.76	0.7555	0.7231	0.8172	0.8487	0.9232
18	9444996	0.5635	0.5037	0.5109	0.5663	0.6344	0.7942
19	9490287	0.2773	0.4576	0.5348	0.545	0.5266	0.7465
20	9525608	1.0	0.8671	0.7762	0.7471	0.7981	0.9411
21	9597165	0.9026	0.8879	0.8541	0.8566	0.8759	0.9348
22	9811782	1.0	0.8149	0.7373	0.7582	0.8492	0.938
23	9852234	0.0	0.0	0.0	0.1396	0.1396	0.2564
24	9864185	0.6608	0.7799	0.8294	0.8239	0.8297	0.8488
25	9864379	0.4693	0.4693	0.5961	0.5961	0.5961	0.6927
26	10094124	0.3392	0.3558	0.367	0.3396	0.314	0.6119
27	10097113	0.7113	0.5949	0.6401	0.6788	0.6859	0.7873
28	10191987	0.3452	0.5563	0.5563	0.6348	0.6348	0.6348
29	10508842	0.0	0.1786	0.258	0.258	0.3249	0.3872
30	10513726	1.0	1.0	0.9716	0.9763	0.9618	0.9379
31	10561690	0.0	0.0	0.04	0.04	0.1752	0.2839
32	10573162	0.4208	0.5328	0.5197	0.5845	0.6288	0.8076
33	10590438	0.0	0.0	0.0	0.0	0.0	0.2202
34	10627538	0.6725	0.7225	0.8011	0.8192	0.8333	0.885
35	10639584	0.4306	0.469	0.4593	0.4742	0.4742	0.6306
36	10753853	0.9026	0.8732	0.871	0.8926	0.907	0.8933
37	10793469	0.7699	0.6444	0.7037	0.7801	0.8183	0.8253
38	10833030	0.5531	0.4923	0.4923	0.5542	0.608	0.608
39	10833031	0.0693	0.0568	0.0815	0.2569	0.2805	0.3809
40	10882757	0.1461	0.1303	0.1303	0.1303	0.1303	0.2995
41	10955408	0.5339	0.4635	0.4967	0.5636	0.608	0.7938
42	11124531	0.1461	0.21	0.21	0.21	0.2708	0.3772
43	11238833	0.6864	0.6874	0.7205	0.7446	0.7635	0.8515
44	11284035	0.0	0.0	0.0664	0.0664	0.0664	0.3943
45	11354630	0.4632	0.4529	0.4892	0.5218	0.5837	0.6367
46	11380412	0.0	0.0	0.1533	0.1533	0.1533	0.267
47	11420646	0.2025	0.3237	0.2804	0.3558	0.3907	0.609
48	11495631	1.0	0.9477	0.9595	0.9431	0.9236	0.8928
49	11522575	0.2055	0.2519	0.2973	0.2912	0.3296	0.5778
50	11528119	0.4704	0.3812	0.3812	0.4438	0.4438	0.6006
51	11528501	0.0	0.0	0.0	0.0581	0.0581	0.1895
52	11760577	0.6399	0.6146	0.6537	0.6106	0.6364	0.7687
53	11790842	0.8151	0.7347	0.7169	0.6626	0.6623	0.8191
54	11891523	0.8348	0.7697	0.705	0.6556	0.6556	0.7837
55	11891527	0.1652	0.1709	0.1748	0.1934	0.2973	0.5077
56	12041731	0.3156	0.3873	0.4003	0.527	0.5844	0.6109
57	12050860	0.3938	0.4933	0.5948	0.6569	0.6569	0.6812
58	12138500	0.2409	0.3841	0.3667	0.3846	0.364	0.5975
59	12370837	0.1312	0.2369	0.2763	0.3251	0.3251	0.5621
60	12406897	0.8869	0.8362	0.6919	0.6984	0.6798	0.865
61	12438737	0.4704	0.4776	0.5364	0.5364	0.5364	0.6691
62	12453410	0.9026	0.7255	0.7281	0.6612	0.6442	0.8307
63	12461685	0.3673	0.5119	0.5573	0.5573	0.5955	0.6295
64	12476447	0.0	0.0	0.0	0.0	0.0	0.2126
65	12485830	0.6608	0.7375	0.7072	0.6665	0.6939	0.8271
66	12684692	0.0	0.0	0.0	0.0	0.1802	0.1802
67	12697995	0.2021	0.1885	0.3413	0.3875	0.4286	0.462
68	12851708	0.7727	0.6767	0.7295	0.7629	0.7629	0.8207
69	12925283	0.5269	0.4646	0.477	0.457	0.4334	0.65
70	12948725	0.0	0.0804	0.1336	0.1827	0.1827	0.3933
71	12956262	1.0	1.0	0.9701	0.9751	0.9154	0.918
72	13680362	0.2021	0.1774	0.2722	0.3148	0.3525	0.3894
73	14564256	0.2026	0.2481	0.2593	0.2691	0.344	0.5792
74	14571274	0.6062	0.625	0.625	0.625	0.7057	0.7428
75	14610348	0.1461	0.1089	0.1722	0.2328	0.2895	0.4322
76	14622239	0.786	0.7004	0.5728	0.555	0.5438	0.7523
77	14674455	1.0	1.0	0.9375	0.948	0.955	0.9352
78	14676949	1.0	0.9558	0.9066	0.9007	0.8596	0.939
79	14702191	0.8058	0.889	0.8508	0.8243	0.8217	0.8139
80	14747550	0.0	0.0772	0.2411	0.3009	0.375	0.5711
81	14963141	0.4307	0.3965	0.5183	0.5922	0.6165	0.7745
82	14980493	0.6864	0.678	0.7028	0.6732	0.6641	0.8154
83	15004461	0.5414	0.5098	0.5098	0.5493	0.5855	0.655
84	15114285	0.3629	0.474	0.4427	0.4787	0.5176	0.7422
85	15125637	0.0	0.1413	0.2586	0.3654	0.3654	0.3654
86	15130820	0.4208	0.4616	0.5091	0.559	0.5998	0.6963
87	15218254	0.4149	0.4149	0.4742	0.4742	0.4742	0.5566
88	15258568	0.3177	0.5572	0.5693	0.5288	0.5111	0.7178
89	15305057	0.2021	0.1885	0.1885	0.1885	0.1885	0.438
90	15326625	0.0	0.0	0.0844	0.1584	0.1584	0.3974
91	15341835	0.5756	0.4626	0.5096	0.5018	0.56	0.7242
92	15506562	0.5531	0.443	0.4613	0.455	0.5145	0.5689
93	15580276	0.6568	0.6761	0.6437	0.6887	0.7148	0.7969
94	15610964	1.0	0.9576	0.9671	0.9507	0.9041	0.9005
95	15634958	0.4913	0.54	0.615	0.5784	0.5633	0.7224
96	15693740	0.2233	0.2567	0.2484	0.2432	0.3	0.535
97	15706535	0.1568	0.3536	0.426	0.4792	0.4886	0.624
98	15748124	0.7414	0.8266	0.7746	0.7383	0.71	0.8366
99	15750004	0.6062	0.4585	0.5324	0.5988	0.5988	0.7076
100	15750021	0.0	0.0	0.0	0.1069	0.1069	0.2926
101	15750022	0.0	0.0	0.0	0.0	0.0	0.2539
102	15965651	0.7665	0.6667	0.655	0.6382	0.6579	0.7931
103	16007665	0.0	0.1935	0.1935	0.1935	0.3309	0.3309
104	16043887	0.5087	0.3301	0.3462	0.3708	0.4057	0.6559
105	16081539	0.3333	0.3844	0.4642	0.5737	0.59	0.7016
106	16093308	0.8688	0.7213	0.6476	0.6407	0.7	0.8579
107	16094440	1.0	1.0	1.0	1.0	1.0	1.0
108	16103662	0.0	0.2754	0.2754	0.2754	0.2754	0.3321
109	16105897	0.1696	0.2661	0.2959	0.4052	0.3926	0.6523
110	16131522	0.2463	0.2271	0.399	0.4773	0.4726	0.6125
111	16135747	1.0	0.8149	0.7668	0.7599	0.7392	0.8459
112	16155417	0.0	0.0	0.0	0.1839	0.2715	0.2715
113	16179230	0.3868	0.3868	0.3868	0.3868	0.3868	0.3868
114	16218947	0.7896	0.821	0.8295	0.7692	0.7644	0.897
115	16241381	0.1696	0.2371	0.3317	0.3546	0.3858	0.6011
116	16276087	0.1016	0.0874	0.1249	0.1581	0.1581	0.3152
117	16397721	0.9026	0.6119	0.518	0.5231	0.5604	0.7677
118	16447990	0.4464	0.498	0.5036	0.5434	0.5986	0.7534
119	16506285	0.0437	0.2202	0.3459	0.4185	0.4458	0.5967
120	16521777	0.3943	0.4248	0.4524	0.4918	0.5124	0.6443
121	16566382	1.0	1.0	0.9573	0.9645	0.9417	0.8902
122	16601688	1.0	0.9537	0.9324	0.8983	0.8766	0.9043
123	16757516	0.8869	0.8744	0.8126	0.7441	0.7425	0.8697
124	16823370	0.7021	0.8067	0.8501	0.8525	0.8188	0.8765
125	16890544	1.0	0.9087	0.9292	0.9108	0.9054	0.9622
126	16901835	0.9026	0.7026	0.6513	0.6847	0.6799	0.8535
127	16907761	0.3783	0.3364	0.3639	0.3909	0.3909	0.4915
