	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
0	1424236	0.8304	0.7892	0.8556	0.9152	0.9152	0.9152
1	1424237	0.5958	0.7864	0.8222	0.8454	0.8454	0.8454
2	1910012	1.0	0.9511	0.9013	0.8735	0.867	0.9704
3	2086037	1.0	1.0	0.9709	0.9526	0.959	0.9635
4	2156475	0.7995	0.804	0.9373	0.9423	0.9462	0.9322
5	2731990	1.0	0.8132	0.9046	0.8961	0.8623	0.9496
6	3185713	1.0	0.9948	0.9953	0.9957	0.996	0.9962
7	7798242	1.0	0.9367	0.9665	0.9199	0.9104	0.9763
8	7829088	0.0	0.0	0.0	0.2354	0.2354	0.2354
9	7881069	0.6608	0.7799	0.7977	0.8315	0.8176	0.8795
10	8143266	0.5414	0.6715	0.777	0.777	0.777	0.777
11	8486029	1.0	0.8988	0.8441	0.8045	0.7763	0.9012
12	8682501	0.2372	0.4556	0.4556	0.4556	0.4556	0.4556
13	8847735	0.6548	0.692	0.7677	0.8417	0.8417	0.8417
14	8876090	1.0	0.9134	0.8968	0.9555	0.9698	0.981
15	8878704	1.0	1.0	1.0	1.0	1.0	0.9793
16	8971015	0.8869	0.8842	0.8818	0.8488	0.8972	0.9617
17	9281518	1.0	0.9053	0.8691	0.9536	0.9784	0.9826
18	9444996	1.0	0.9113	0.8696	0.929	0.9549	0.9713
19	9490287	1.0	1.0	1.0	0.9342	0.9431	0.9903
20	9525608	1.0	1.0	0.9716	0.9325	0.9748	0.9947
21	9597165	1.0	1.0	1.0	1.0	1.0	0.9996
22	9811782	1.0	0.9477	0.8993	0.85	0.8967	0.9443
23	9852234	0.2641	0.2641	0.4174	0.4174	0.4174	0.4174
24	9864185	1.0	1.0	1.0	1.0	1.0	0.9933
25	9864379	0.7654	0.7654	0.7654	0.7654	0.8706	0.8706
26	10094124	1.0	0.9537	0.9641	0.9701	0.991	0.9911
27	10097113	1.0	0.9134	0.9209	0.9669	0.9689	0.9804
28	10191987	0.7227	0.7227	0.8173	0.8987	0.8987	0.8987
29	10508842	0.1312	0.3203	0.3203	0.3915	0.5219	0.5219
30	10513726	1.0	1.0	1.0	1.0	1.0	0.971
