	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
0	1424236	0.3392	0.2529	0.3194	0.4396	0.4396	0.5307
1	1424237	0.4166	0.4177	0.3477	0.3545	0.4031	0.6175
2	1910012	0.6608	0.6411	0.6327	0.6382	0.6747	0.8089
3	2086037	0.8573	0.8611	0.8924	0.9104	0.9224	0.931
4	2156475	0.2846	0.3303	0.4111	0.4576	0.5343	0.6031
5	2731990	0.4051	0.3146	0.3606	0.3485	0.3656	0.5284
6	3185713	0.7699	0.672	0.7375	0.7265	0.7315	0.7517
7	7798242	0.5339	0.4808	0.5918	0.5601	0.6582	0.745
8	7829088	0.0	0.0	0.0	0.0	0.0	0.1821
9	7881069	0.5594	0.6717	0.6548	0.6456	0.6572	0.811
10	8143266	0.1952	0.1952	0.1952	0.1952	0.1952	0.3475
11	8486029	0.7443	0.7436	0.7115	0.6604	0.6707	0.8038
12	8682501	0.0	0.0	0.0	0.0	0.1356	0.2645
13	8847735	0.3392	0.4104	0.4104	0.4793	0.5436	0.6616
14	8876090	1.0	0.7518	0.6646	0.7386	0.7085	0.8334
15	8878704	1.0	1.0	0.941	0.9277	0.9374	0.9396
16	8971015	0.6608	0.5439	0.5856	0.6148	0.6644	0.7934
17	9281518	0.589	0.6844	0.6362	0.7107	0.7266	0.8761
18	9444996	0.6725	0.6274	0.593	0.6323	0.6861	0.8535
19	9490287	0.1461	0.3822	0.4735	0.5269	0.5099	0.748
20	9525608	0.7896	0.7688	0.7007	0.6502	0.7069	0.8748
21	9597165	1.0	0.9036	0.9253	0.9162	0.8914	0.9464
22	9811782	0.9125	0.8519	0.7644	0.758	0.8084	0.9208
23	9852234	0.0	0.0	0.0	0.0	0.0	0.2359
24	9864185	0.8304	0.8458	0.8805	0.9005	0.887	0.9124
25	9864379	0.4693	0.4693	0.5925	0.7051	0.7051	0.7051
26	10094124	0.214	0.3382	0.3097	0.3027	0.3001	0.5236
27	10097113	0.529	0.5245	0.6122	0.597	0.6469	0.751
28	10191987	0.3392	0.4372	0.524	0.6053	0.6053	0.6715
29	10508842	0.1312	0.1171	0.1965	0.2691	0.2691	0.395
30	10513726	1.0	1.0	1.0	1.0	1.0	0.9606
31	10561690	0.0	0.0	0.12	0.224	0.2564	0.2884
32	10573162	0.5594	0.5242	0.572	0.6568	0.6973	0.8599
33	10590438	0.0	0.0	0.0	0.0	0.0	0.153
34	10627538	0.5594	0.6268	0.762	0.7655	0.7837	0.861
35	10639584	0.4306	0.4208	0.4164	0.435	0.4852	0.6167
36	10753853	1.0	0.9511	0.9621	0.9684	0.9552	0.9243
37	10793469	0.6725	0.6716	0.7102	0.7734	0.8001	0.8368
38	10833030	0.0	0.1632	0.2279	0.2279	0.2279	0.3791
39	10833031	0.0	0.0687	0.0646	0.1155	0.1395	0.3508
40	10882757	0.0	0.1009	0.1009	0.1009	0.1009	0.2691
41	10955408	0.4208	0.4886	0.4855	0.5884	0.6522	0.7914
42	11124531	0.1312	0.1858	0.2601	0.2601	0.2601	0.4703
43	11238833	0.7021	0.6999	0.7316	0.7548	0.7729	0.8765
44	11284035	0.0	0.0	0.0683	0.0683	0.0683	0.3027
45	11354630	0.6856	0.5729	0.5286	0.595	0.6554	0.7647
46	11380412	0.0	0.0	0.0	0.0	0.132	0.132
47	11420646	0.5599	0.5292	0.5276	0.4941	0.5418	0.7211
48	11495631	1.0	1.0	0.9709	0.9542	0.9245	0.9187
49	11522575	0.4208	0.4101	0.4233	0.4305	0.4402	0.6286
