	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
0	45715						
1	95800						
2	95807						
3	95885						
4	1285365						
5	1340921						
6	1340922						
7	1340942						
8	1341208						
9	1341212						
10	1341258						
11	1341259						
12	1341266						
13	1341269						
14	1341270						
15	1341274						
16	1341275						
17	1341572						
18	1341603						
19	1341786						
20	1342002						
21	1342021						
22	1343104						
23	1343125						
24	1343507						
25	1343509						
26	1343536						
27	1343675						
28	1343870						
29	1344856						
30	1345173						
31	1345634						
32	1345636						
33	1364464	0.3392	0.5017	0.4337	0.4286	0.4255	0.4707
34	1364630						
35	1364685						
36	1364687						
37	1364966						
38	1365909						
39	1669339						
40	1669626						
41	1669719	0.4105	0.2885	0.3749	0.3571	0.3364	0.3458
42	1670047						
43	1670545						
44	4143814						
45	4143841						
46	4143861						
47	4143865						
48	4143880						
49	4143881						
50	4143883						
51	4143893						
52	6086141						
53	6086145						
54	6152973						
55	6153017						
56	6153047						
57	7472344	0.64	0.4847	0.4219	0.3512	0.3041	0.2693
58	7472346						
59	7472348						
60	7472439						
61	7472445						
62	7472446						
63	7472452						
64	7472741						
65	7472820						
66	7473164						
67	7473174						
68	7473345						
69	7473659	1.0	0.9306	0.9462	0.9552	0.8813	0.8529
70	7473745						
71	7474138						
72	7474140						
73	7474142						
74	7474250						
75	7474436						
76	7474923						
77	7475254						
78	7475665						
79	7475917						
80	7476173						
81	7476889						
82	7476892						
83	7476913						
84	7476917						
85	7476970						
86	7477025						
87	7477057						
88	7477378						
89	7477379						
90	7478201						
91	7478253	1.0	0.9477	0.8244	0.8538	0.8735	0.8116
92	7478510						
93	7478515						
94	7478522						
95	7478541						
96	7478546						
97	7478561						
98	7479028	0.6608	0.6321	0.6273	0.6574	0.6236	0.5857
99	7479059						
100	7479078						
101	7479321						
102	7479621						
103	7479897						
104	7479980						
105	7480085						
106	7480149						
107	7480326						
108	7480805						
109	7481095						
110	7481373	0.4913	0.5271	0.6334	0.6948	0.6824	0.7548
111	7481382						
112	7481465						
113	7481765						
114	7481881						
115	7482672						
116	7482706						
117	7483145						
118	7483782						
119	7483828						
120	7484212						
121	7484387						
122	7484406						
123	7484469						
124	7484624						
125	7484836						
126	7485228	0.6312	0.6823	0.6777	0.6665	0.631	0.7161
127	7485229						
128	7485243						
129	7485257						
130	7485338						
131	7485472						
132	7485742						
133	7485973						
134	7486247						
135	7486685						
136	7486872	1.0	0.8378	0.7546	0.7169	0.7009	0.7283
137	7486874						
138	7487008	0.8539	0.8358	0.8428	0.8691	0.7884	0.8904
139	7487010						
140	7487074						
141	7487082	0.6548	0.7026	0.6797	0.667	0.6577	0.6642
142	7487559						
143	7488003						
144	7488060	0.786	0.7215	0.6944	0.7108	0.6966	0.7074
145	7488108						
146	7488135						
147	7488495						
148	7488744						
149	7488973						
150	7489375						
151	7489583						
152	7489663						
153	7489759						
154	7490005						
155	7490291						
156	7490447						
157	7490549						
158	7491108						
159	7491262						
160	7491308						
161	7491359						
162	7491526						
163	7491757						
164	7491774						
165	7491787						
166	7492348						
167	7492415						
168	7493024						
169	7493338	0.1696	0.11	0.0853	0.1058	0.0916	0.1177
170	7493773						
171	7493946						
172	7493947						
173	7493966						
174	7494097						
175	7494280						
176	7494281						
177	7494284						
178	7494347						
179	7494409						
180	7494451						
181	7494453						
182	7494456						
183	7494830						
184	7494839						
185	7494864	0.4273	0.2994	0.3212	0.2992	0.2936	0.2807
186	7494873						
187	7495545						
188	7495573						
189	7495695						
190	7495979						
191	7496034						
192	7496599	1.0	0.9364	0.907	0.8891	0.904	0.8524
193	7496781						
194	7496896						
195	7496918						
196	7496975						
197	7497000						
198	7497031						
199	7497458	0.8539	0.9052	0.8817	0.9015	0.9147	0.8612
200	7497691						
201	7498133						
202	7498154						
203	7498406						
204	7498460						
205	7498727						
206	7498757						
207	7498762						
208	7498787						
209	7499255						
210	7499258						
211	7499295						
212	7499321						
213	7499338						
214	7499486						
215	7499595						
216	7500021						
217	7500132						
218	7500154						
219	7501146						
220	7501232						
221	7501233						
222	7501696						
223	7501774						
224	7501986						
225	7502028						
226	7502491	0.5087	0.3301	0.2559	0.2131	0.2117	0.2218
227	7502603						
228	7503181						
229	7503542	0.3392	0.2985	0.2314	0.2274	0.2078	0.2327
230	7503981						
231	7503987	0.1696	0.1763	0.1367	0.1472	0.1275	0.1376
232	7503992						
233	7504175						
234	7504303						
235	7504304						
236	7504399						
237	7504433						
238	7504518						
239	7504533						
240	7504537						
241	7504538						
242	7504552						
243	7504645						
244	7504666						
245	7504783						
246	7504833						
247	7504834	0.0	0.0	0.0448	0.0373	0.0323	0.052
248	7504885						
249	7504904						
250	7504950						
251	7504954	0.5531	0.3851	0.3271	0.3321	0.3559	0.3908
252	7505010	0.3157	0.3566	0.324	0.3709	0.3744	0.3406
253	7505030						
254	7505032						
255	7505114						
256	7505138						
