	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
0	95800						
1	95807						
2	95885						
3	1285365						
4	1340921						
5	1340922						
6	1340942						
7	1341208						
8	1341258						
9	1341259						
10	1341266						
11	1341269						
12	1341270						
13	1341274						
14	1341275						
15	1341572						
16	1341603						
17	1341786						
18	1342002						
19	1342021						
20	1343104						
21	1343125						
22	1343507						
23	1343536						
24	1343870						
25	1345173						
26	1345634						
27	1345636						
28	1364630						
29	1364966						
30	1365909						
31	1669339						
32	1669626						
33	1669719	0.5182	0.422	0.4634	0.4639	0.4564	0.4387
34	1670047						
35	1670545						
36	6153017						
37	6153047						
38	7472344	0.4704	0.3688	0.3307	0.3417	0.3484	0.359
39	7472346						
40	7472348						
41	7472439						
42	7472445						
43	7472446						
44	7472452						
45	7472741						
46	7472820						
47	7473164						
48	7473174						
49	7473345						
50	7473659	0.9125	0.8796	0.8321	0.8046	0.7858	0.7669
51	7473745						
52	7474138						
53	7474140						
54	7474142						
55	7474250						
56	7474436						
57	7474923						
58	7475254						
59	7475665						
60	7475917						
61	7476173						
62	7476889						
63	7476892						
64	7476913						
65	7476917						
66	7476970						
67	7477025						
68	7477057						
69	7477378						
70	7477379						
71	7478201						
72	7478253	0.4273	0.4708	0.4688	0.4803	0.488	0.5292
73	7478510						
74	7478515						
75	7478522						
76	7478541						
77	7478546						
78	7478561						
79	7479028	0.8688	0.7058	0.638	0.597	0.6249	0.6015
80	7479059						
81	7479078						
82	7479321						
83	7479621						
84	7479897						
85	7479980						
86	7480085						
87	7480149						
88	7480326						
89	7480805						
90	7481095						
91	7481373	0.4913	0.6004	0.6903	0.6758	0.6664	0.7473
92	7481382						
93	7481465						
94	7481765						
95	7481881						
96	7482672						
97	7482706						
98	7483145						
99	7483782						
100	7483828						
101	7484212						
102	7484469						
103	7484624						
104	7484836						
105	7485228	0.529	0.603	0.5884	0.6346	0.6293	0.6571
106	7485229						
107	7485243						
108	7485257						
109	7485338						
110	7485472						
111	7485742						
112	7485973						
113	7486247						
114	7486872	0.786	0.6652	0.6653	0.677	0.6664	0.6291
115	7486874						
116	7487008	0.5182	0.6237	0.5862	0.6214	0.6454	0.8162
117	7487010						
118	7487074						
119	7487082	0.5087	0.4722	0.5045	0.5217	0.4785	0.4372
120	7487559						
121	7488003						
122	7488060	0.8539	0.9052	0.8829	0.9025	0.8619	0.8103
123	7488108						
124	7488135						
125	7488495						
126	7488744						
127	7488973						
128	7489583						
129	7489663						
130	7489759						
131	7490005						
132	7490291						
133	7490447						
134	7490549						
135	7491108						
136	7491262						
137	7491308						
138	7491526						
139	7491757						
140	7491774						
141	7491787						
142	7492348						
143	7493024						
144	7493338	0.0	0.0	0.0	0.0323	0.028	0.0337
145	7493773						
146	7493946						
147	7493947						
148	7493966						
149	7494097						
150	7494280						
151	7494281						
152	7494284						
153	7494347						
154	7494409						
155	7494451						
156	7494453						
157	7494456						
158	7494830						
159	7494839						
160	7494864	0.0437	0.0505	0.0934	0.1012	0.167	0.2305
161	7494873						
162	7495573						
163	7495695						
164	7495979						
165	7496034						
166	7496599	0.8539	0.8416	0.8311	0.8594	0.8511	0.8479
167	7496781						
168	7496896						
169	7496918						
170	7496975						
171	7497000						
172	7497031						
173	7497458	1.0	1.0	1.0	1.0	1.0	1.0
174	7497691						
175	7498133						
176	7498154						
177	7498406						
178	7498460						
179	7498727						
180	7498757						
181	7498762						
182	7498787						
183	7499255						
184	7499258						
185	7499295						
186	7499321						
187	7499338						
188	7499486						
189	7499595						
190	7500021						
191	7500132						
192	7500154						
193	7501146						
194	7501232						
195	7501233						
196	7501774						
197	7501986						
198	7502491	0.6548	0.4943	0.4695	0.425	0.3679	0.2752
199	7502603						
200	7503181						
201	7503542	0.3157	0.2711	0.2101	0.2073	0.2009	0.2009
202	7503981						
203	7503987	0.214	0.2122	0.1645	0.137	0.1447	0.1443
204	7503992						
205	7504175						
206	7504303						
207	7504304						
208	7504399						
209	7504433						
210	7504518						
211	7504533						
212	7504537						
213	7504538						
214	7504552						
215	7504645						
216	7504666						
217	7504783						
218	7504833						
219	7504834	0.0	0.0	0.0	0.0	0.0	0.0
220	7504885						
221	7504904						
222	7504950						
223	7504954	0.2174	0.1411	0.1724	0.2154	0.2223	0.2893
224	7505010	0.3008	0.2588	0.2467	0.2383	0.2335	0.1911
225	7505032						
226	7505114						
227	7505138						
228	7505144						
229	7505243						
230	7505252						
231	7505276						
232	7505315						
233	7505324						
234	7505325						
235	7505416						
236	7505479						
237	7505490						
238	7505567						
239	7505612						
240	7505668						
241	7505687						
242	7505692						
243	7505767						
244	7505830						
245	7505832						
246	7505840						
247	7505994						
248	7506052						
249	7506258						
250	7506266						
251	7506417						
252	7506421						
253	7506492						
254	7506499	0.0	0.0	0.0	0.0	0.0	0.0585
255	7506673						
256	7506859	0.214	0.1389	0.1076	0.0896	0.1052	0.1078
257	7507026						
258	7507033						
259	7507056						
260	7507171						
261	7507231						
262	7507247						
263	7507403						
264	7507444						
265	7507447						
266	7507449						
267	7507515						
268	7507726						
269	7507835						
270	7507839						
271	7507858						
272	7507862						
273	7507932						
274	7507947						
275	7508125						
276	7508188						
277	7508215						
278	7508267						
279	7508312						
280	7508475						
281	7508553						
282	7508629						
283	7508640						
284	7508815						
285	7508897						
286	7508934						
287	7508947						
288	7509074						
289	7509140						
290	7509211						
291	7509337						
292	7509352						
293	7509438						
294	7509443						
295	7509480						
296	7509541						
297	7509629						
298	7509738						
